Akam, Noble  Directeur
Akamatsu, Ken (1968-....)
Akar, Mirèse  Traducteur
Akhmadov, Moussa (1956-....)
Aki, Katsu
Akiyama, Tamayo
Akkari, Hatem  Directeur
Akoka, Jacky
Akoun, Jacky-Armand (1947-....)
Akounine, Boris (1956-....)
Akremi, Assaad El  Rédacteur
Akrouf, Nadia  Traducteur
Aksentievitch, Michel  Illustrateur
Akyeampong, Ekow  Editeur scientifique
Al Hammal, Riad (1945-....)
Al Tayeb Al-Ansary, Abdel Rahman
Al-Ankary, Khalid M.
Al-Shalabi, Jamal (1965-....)
Al. G.  Illustrateur
Alaguillaume, Renaud
Alain (1868-1951)
Alain (1868-1951)  Préfacier
Alain, Anton (1946-....)
Alajati-Kubab, Sabah (1957-....)
Alamagny, Jean-Michel  Traducteur
Alami M'Chichi, Houria
Alamichel, Sylvette
Álamo, Antonio (1964-.....)
Alamo, Valérie
Alançon, Jean d'
Alani, Abdel Ghani (1937-....)
Alaoui, Brahim ben Hossain
Alaoui, Narjys El
Alard, Didier  Directeur
Alard, Valérie ( 1971-....)  Editeur scientifique
Alaric, Alexandre
Alaux, André (1940-....)
Alauzen Di Genova, André
Alawi, R.  Editeur scientifique
Alayer, Christian d' (1949-....)
Alazet, Bernard  Editeur scientifique
Alazraki, David
Alba, André  Editeur scientifique
Alba, Manuel (1967-....)  Illustrateur
Albadawî, Mostaphâ (19..-....)
Albagli, Claude (1946-....)
Albagnac, Guy  Directeur
Albahari, David (1948-....)
Albaladejo, Christophe (1959-....)  Editeur scientifique
Albaladejo, Pierre (1933-....)
Albanès, Joseph Hyacinthe (1822-1897)
Albanèse, Jacques  Directeur
Albanese, Marilia (1952-....)
Albanet, Anne-Laure
Albano, Pierre-Olivier
Albar, Ludovic (1969-....)
Albaret-Maatsch, Michèle  Traducteur
Albarracin, Laurent
Albaut, Corinne
Albaut, Corinne  Traducteur
Albeck, Raymond  Traducteur
Albera, Dionigi  Directeur
Albera, François  Directeur
Alberge, Claude
Alberich, Emilio
Albert, Aristide (1821-1903)
Albert, Laurence (1964-....)
Albert, Marc  Traducteur
Albert, Marie-Aude
Albert, Marie-Aude  Editeur scientifique
Albert, Michel (1930-....)
Albert, Nicole G.  Préfacier
Albert, Pascale (1962-....)
Albert, Pierre (1930-....)
Albert, Régine
Albert, Roger
Albert, Sébastien
Albert, Stéphane
Albert, Sylvie  Illustrateur
Albert-Llorca, Marlène
Albert-Marie
Albert-Marie (1951-....)
Albert-Rébé, Thérèse (1945-....)
Albert-Sorel, André
Albertazzi, Liliana
Alberti, Leon Battista (1404-1472)
Alberti, Olympia (1950-....)
Albertini, Jean-Marie (1929-....)  Directeur
Albertini, Jean-Vitus
Albertini, Mario (1919-1997)
Albertini, Pierre (1942-....)  Directeur
Albertini-Moug, Patrice
Alberto, Tony
Albesa, Christophe (1942-....)
Albi, Jorge
Albina, Jacques
Albiousse, Lionel d' (1827-1919)
Albitz, Paul
Alborough, Jez (1959-....)
Albouy, François-Xavier
Albouy, Pierre
Albouy, Pierre  Editeur scientifique
Albouy, Vincent
Albrand, Louis
Albrecht, Elke  Editeur scientifique
Albrecht, Pierre-Yves (1945-....)
Albrecht, Renate
Albuquerque, Roberto Cavalcanti de
Alcaraz, Jean-Marc  Directeur
Alcaud, David  Directeur
Alcorn, David  Traducteur
Alcott, Louisa May (1832-1888)
Alcouffe, Simon
Alda
Aldany, Kim
Aldeeb Abu-Sahlieh, Sami Awad (1946-....)
Aldeghi, Isa (1957-....)  Rédacteur
Alderton, David
Aldhuy, Julien
Aldiss, Brian Wilson (1925-....)
Aldobrandini, Pietro (1571-1621)
Aldor, Bettina  Traducteur
Aldred, Cyril (1914-....)
Aldunate, Carlos  Adaptateur
Alechine, Ivan (1952-....)  Préfacier
Alechinsky, Pierre (1927-....)
Alègre, Jean-Paul (1951-....)  Traducteur
